node_code,node_name,proxy_industry,review_note
X110201,油田服务,Oilfield Svcs/Equip.,XBSE限定分析代理：同一标准快照中沪深双来源共现5/6家；采用全球Oilfield Svcs/Equip.作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X120102,化妆品,,暂不映射：沪深双来源共现样本10家，最高一致项Household Products=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120205,碳纤维,,暂不映射：沪深双来源共现样本3家，最高一致项Chemical (Basic)=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120306,有机化工原料,,暂不映射：沪深双来源共现样本23家，最高一致项Chemical (Basic)=15家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120399,其他化学原料,,暂不映射：沪深双来源共现样本12家，最高一致项Chemical (Basic)=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120401,聚氨酯,,暂不映射：沪深双来源共现样本6家，最高一致项Chemical (Basic)=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120402,涂料油墨,Chemical (Specialty),XBSE限定分析代理：同一标准快照中沪深双来源共现13/15家；采用全球Chemical (Specialty)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X120404,纺织化学品,Chemical (Specialty),XBSE限定分析代理：同一标准快照中沪深双来源共现13/15家；采用全球Chemical (Specialty)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X120406,食品助剂,,暂不映射：沪深双来源共现样本13家，最高一致项Chemical (Specialty)=5家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120499,其他化学制品,,暂不映射：沪深双来源共现样本44家，最高一致项Chemical (Specialty)=27家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120503,改性塑料,Chemical (Basic),XBSE限定分析代理：同一标准快照中沪深双来源共现15/18家；采用全球Chemical (Basic)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X120505,塑料助剂,,暂不映射：沪深双来源共现样本14家，最高一致项Chemical (Basic)=8家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120506,其他塑料制品,,暂不映射：沪深双来源共现样本16家，最高一致项Chemical (Basic)=10家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120603,橡胶制品,,暂不映射：沪深双来源共现样本11家，最高一致项Chemical (Basic)=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X120701,农药,Chemical (Specialty),XBSE限定分析代理：同一标准快照中沪深双来源共现29/30家；采用全球Chemical (Specialty)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X120705,复合肥,Chemical (Specialty),XBSE限定分析代理：同一标准快照中沪深双来源共现11/11家；采用全球Chemical (Specialty)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X1208,非金属材料,,暂不映射：沪深双来源共现样本10家，最高一致项Chemical (Basic)=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X140103,铅锌,Metals & Mining,XBSE限定分析代理：同一标准快照中沪深双来源共现12/12家；采用全球Metals & Mining作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X140403,钛,Metals & Mining,XBSE限定分析代理：同一标准快照中沪深双来源共现5/5家；采用全球Metals & Mining作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X140502,其他金属新材料,,暂不映射：沪深双来源共现样本12家，最高一致项Metals & Mining=8家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X150303,耐火材料,,暂不映射：沪深双来源共现样本5家，最高一致项Construction Supplies=2家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X200103,种子,,暂不映射：沪深双来源共现样本8家，最高一致项Farming/Agriculture=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X200501,畜禽饲料,,暂不映射：沪深双来源共现样本12家，最高一致项Farming/Agriculture=8家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X200503,宠物食品,,暂不映射：沪深双来源共现样本3家，最高一致项Food Processing=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X200602,果蔬加工,,暂不映射：沪深双来源共现样本4家，最高一致项Farming/Agriculture=2家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X2007,动物保健,,暂不映射：沪深双来源共现样本10家，最高一致项Drugs (Pharmaceutical)=7家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X210302,乳制品,Food Processing,XBSE限定分析代理：同一标准快照中沪深双来源共现19/20家；采用全球Food Processing作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X2104,调味品,Food Processing,XBSE限定分析代理：同一标准快照中沪深双来源共现14/16家；采用全球Food Processing作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X210603,预加工食品,Food Processing,XBSE限定分析代理：同一标准快照中沪深双来源共现7/7家；采用全球Food Processing作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X210605,其他食品,,暂不映射：沪深双来源共现样本3家，最高一致项Food Processing=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X220103,辅料,,暂不映射：沪深双来源共现样本3家，最高一致项Apparel=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X220201,家纺,Apparel,XBSE限定分析代理：同一标准快照中沪深双来源共现7/7家；采用全球Apparel作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X230103,特种纸,Paper/Forest Products,XBSE限定分析代理：同一标准快照中沪深双来源共现11/12家；采用全球Paper/Forest Products作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X230201,印刷,,暂不映射：沪深双来源共现样本4家，最高一致项Publishing & Newspapers=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X230203,塑料包装,Packaging & Container,XBSE限定分析代理：同一标准快照中沪深双来源共现7/7家；采用全球Packaging & Container作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X230204,纸包装,Packaging & Container,XBSE限定分析代理：同一标准快照中沪深双来源共现16/19家；采用全球Packaging & Container作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X230205,其他包装,,暂不映射：沪深双来源共现样本6家，最高一致项Packaging & Container=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X230302,其他家居,,暂不映射：沪深双来源共现样本33家，最高一致项Building Materials=12家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X240301,厨房小家电,Furn/Home Furnishings,XBSE限定分析代理：同一标准快照中沪深双来源共现9/10家；采用全球Furn/Home Furnishings作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X240302,清洁小家电,Furn/Home Furnishings,XBSE限定分析代理：同一标准快照中沪深双来源共现7/7家；采用全球Furn/Home Furnishings作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X240303,个护小家电,,暂不映射：沪深双来源共现样本7家，最高一致项Recreation=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X2406,家电零部件,,暂不映射：沪深双来源共现样本23家，最高一致项Machinery=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X250602,跨境电商,,暂不映射：沪深双来源共现样本8家，最高一致项Retail (General)=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X260301,车身附件及饰件,Auto Parts,XBSE限定分析代理：同一标准快照中沪深双来源共现36/44家；采用全球Auto Parts作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X260302,底盘与发动机系统,Auto Parts,XBSE限定分析代理：同一标准快照中沪深双来源共现66/79家；采用全球Auto Parts作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X260303,轮胎轮毂,,暂不映射：沪深双来源共现样本22家，最高一致项Rubber& Tires=10家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X260304,其他汽车零部件,,暂不映射：沪深双来源共现样本49家，最高一致项Auto Parts=28家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X260305,汽车电子电气系统,Auto Parts,XBSE限定分析代理：同一标准快照中沪深双来源共现30/34家；采用全球Auto Parts作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X260401,汽车经销商,,暂不映射：沪深双来源共现样本3家，最高一致项Retail (Distributors)=3家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X260501,摩托车,Auto & Truck,XBSE限定分析代理：同一标准快照中沪深双来源共现4/5家；采用全球Auto & Truck作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270101,化学制剂,Drugs (Pharmaceutical),XBSE限定分析代理：同一标准快照中沪深双来源共现80/86家；采用全球Drugs (Pharmaceutical)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270102,原料药,,暂不映射：沪深双来源共现样本38家，最高一致项Drugs (Pharmaceutical)=30家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X270202,疫苗,Drugs (Biotechnology),XBSE限定分析代理：同一标准快照中沪深双来源共现10/11家；采用全球Drugs (Biotechnology)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270205,基因药物,,暂不映射：沪深双来源共现样本8家，最高一致项Drugs (Biotechnology)=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X270206,其他生物制药,,暂不映射：沪深双来源共现样本30家，最高一致项Drugs (Biotechnology)=18家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X270301,家用器械,Healthcare Products,XBSE限定分析代理：同一标准快照中沪深双来源共现5/5家；采用全球Healthcare Products作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270302,医疗设备,Healthcare Products,XBSE限定分析代理：同一标准快照中沪深双来源共现28/32家；采用全球Healthcare Products作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270303,医疗耗材,Healthcare Products,XBSE限定分析代理：同一标准快照中沪深双来源共现40/44家；采用全球Healthcare Products作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270304,体外诊断,Healthcare Products,XBSE限定分析代理：同一标准快照中沪深双来源共现5/5家；采用全球Healthcare Products作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270305,制药装备,,暂不映射：沪深双来源共现样本6家，最高一致项Healthcare Products=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X2706,中药,Drugs (Pharmaceutical),XBSE限定分析代理：同一标准快照中沪深双来源共现63/66家；采用全球Drugs (Pharmaceutical)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X270701,医美耗材,,暂不映射：沪深双来源共现样本2家，最高一致项Household Products=1家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X3001,电机制造,Electrical Equipment,XBSE限定分析代理：同一标准快照中沪深双来源共现20/25家；采用全球Electrical Equipment作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X300201,锂电池,,暂不映射：沪深双来源共现样本27家，最高一致项Electrical Equipment=20家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300202,电池化学品,,暂不映射：沪深双来源共现样本38家，最高一致项Electrical Equipment=14家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300203,锂电设备,,暂不映射：沪深双来源共现样本12家，最高一致项Machinery=7家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300204,燃料电池,,暂不映射：沪深双来源共现样本2家，最高一致项Construction Supplies=1家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300301,电工仪器,,暂不映射：沪深双来源共现样本12家，最高一致项Electronics (General)=8家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300302,电网自动化,,暂不映射：沪深双来源共现样本24家，最高一致项Electrical Equipment=16家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300303,输变电设备,Electrical Equipment,XBSE限定分析代理：同一标准快照中沪深双来源共现29/31家；采用全球Electrical Equipment作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X300304,配电设备,Electrical Equipment,XBSE限定分析代理：同一标准快照中沪深双来源共现21/26家；采用全球Electrical Equipment作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
